Year,Tm,W,L,T,W/L,PF,PA,PD,G,Yds,Ply,Y/P,TO,FL,1stD,Cmp_pass,Att_pass,Yds_pass,TD_pass,Int_pass,NY/A_pass,1stD_pass,Att_rush,Yds_rush,TD_rush,Y/A_rush,1stD_rush,Pen,1stPy,Sc%,TO%,EXP,RPO_plays,RPO_yds,RPO_yds/play,RPO_pass_att,RPO_pass_yds,RPO_rush_att,RPO_rush_yds,Play_Action,Play_Action_yds,Play_Action_yds/att
2021,Buffalo Bills,7,5,0,0.583,336,196,140,12,4512,777,5.8,17,6,269,294,448,3112,26,11,6.7,165,310,1400,12,4.5,84,82,20,45.4,12.3,93.88,102,658,6.450980392,57,491,45,167,135,1236,9.155555556
2021,New England Patriots,9,4,0,0.692,350,200,150,13,4505,798,5.6,16,8,269,279,394,2899,18,8,6.9,142,380,1606,15,4.2,98,73,29,48.2,10.9,76.1,42,426,10.14285714,31,378,11,48,85,763,8.976470588
2021,New York Jets,3,9,0,0.25,217,367,-150,12,3924,755,5.2,25,5,237,285,462,2908,17,20,5.9,154,260,1016,9,3.9,59,82,24,29.3,18.8,-15.87,43,193,4.488372093,14,41,29,152,76,458,6.026315789
2021,Miami Dolphins,6,7,0,0.462,254,288,-34,13,4027,843,4.8,20,10,247,336,501,2997,17,10,5.6,168,311,1030,9,3.3,58,83,21,30.3,12,-6.42,139,976,7.021582734,80,786,59,190,111,917,8.261261261
2020,Buffalo Bills,13,3,0,0.813,501,375,126,16,6343,1034,6.1,22,11,397,410,596,4620,40,11,7.4,240,411,1723,16,4.2,119,102,38,49.4,11.8,228.66,89,658,7.393258427,65,577,24,81,181,1567,8.657458564
2020,Miami Dolphins,10,6,0,0.625,404,338,66,16,5424,1021,5.3,20,7,345,370,559,3736,24,13,6.3,207,428,1688,15,3.9,100,74,38,41.4,11,61.96,54,340,6.296296296,42,304,12,36,126,839,6.658730159
2020,New England Patriots,7,9,0,0.438,326,353,-27,16,5236,979,5.3,19,5,332,283,440,2890,12,14,6.1,157,502,2346,20,4.7,143,62,32,36.9,12.1,55.88,51,270,5.294117647,18,143,33,127,152,1024,6.736842105
2020,New York Jets,2,14,0,0.125,243,457,-214,16,4479,948,4.7,19,5,269,292,499,2796,16,14,5.2,146,406,1683,9,4.1,94,101,29,26.3,10.9,-59.07,12,57,4.75,9,46,3,11,97,798,8.226804124
2019,New England Patriots,12,4,0,0.75,420,225,195,16,5664,1095,5.2,15,6,338,378,620,3961,25,9,6.1,197,447,1703,17,3.8,110,94,31,36.3,7.4,34.62,27,144,5.333333333,22,134,5,10,131,995,7.595419847
2019,Buffalo Bills,10,6,0,0.625,314,259,55,16,5283,1018,5.2,19,7,314,299,513,3229,21,12,5.8,162,465,2054,13,4.4,120,117,32,30.1,10.2,6.66,54,335,6.203703704,32,240,22,95,109,921,8.449541284
2019,New York Jets,7,9,0,0.438,276,359,-83,16,4368,956,4.6,25,9,253,323,521,3111,19,16,5.4,162,383,1257,6,3.3,61,115,30,23.3,11.6,-112.9,66,372,5.636363636,37,258,29,114,111,789,7.108108108
2019,Miami Dolphins,5,11,0,0.313,306,494,-188,16,4960,1022,4.9,26,8,315,371,615,3804,22,18,5.7,210,349,1156,10,3.3,64,92,41,30.2,13.7,-28.85,37,181,4.891891892,24,121,13,60,88,624,7.090909091
2018,New England Patriots,11,5,0,0.688,436,325,111,16,6295,1073,5.9,18,7,365,378,574,4258,29,11,7.2,206,478,2037,18,4.3,131,93,28,40.8,9.2,190.96,,,,,,,,,,
2018,Miami Dolphins,7,9,0,0.438,319,433,-114,16,4638,878,5.3,23,10,252,292,455,2900,26,13,5.7,153,371,1738,7,4.7,75,108,24,28.3,12.5,-40.39,,,,,,,,,,
2018,Buffalo Bills,6,10,0,0.375,269,374,-105,16,4778,1008,4.7,32,9,283,271,499,2794,13,23,5.2,137,468,1984,15,4.2,108,116,38,26.4,15.5,-104.81,,,,,,,,,,
2018,New York Jets,4,12,0,0.25,333,441,-108,16,4787,971,4.9,30,11,258,299,524,3165,18,19,5.6,157,410,1622,11,4,84,114,17,32,14.7,-97.45,,,,,,,,,,
2017,New England Patriots,13,3,0,0.813,458,296,162,16,6307,1070,5.9,12,4,389,389,587,4418,32,8,7.1,232,448,1889,16,4.2,107,95,50,49.4,6.9,114.84,,,,,,,,,,
2017,Buffalo Bills,9,7,0,0.563,302,359,-57,16,4842,1010,4.8,16,6,278,289,476,2825,16,10,5.4,149,487,2017,12,4.1,105,98,24,31.7,8.9,-156.16,,,,,,,,,,
2017,Miami Dolphins,6,10,0,0.375,281,393,-112,16,4923,995,4.9,29,8,284,373,602,3535,24,21,5.6,187,360,1388,4,3.9,66,137,31,25.8,15.3,-156.17,,,,,,,,,,
2017,New York Jets,5,11,0,0.313,298,382,-84,16,4884,984,5,24,12,269,323,510,3182,19,12,5.7,157,427,1702,13,4,77,119,35,28.6,11.1,-119.83,,,,,,,,,,
2016,New England Patriots,14,2,0,0.875,441,250,191,16,6180,1056,5.9,11,9,351,368,550,4308,32,2,7.5,203,482,1872,19,3.9,109,93,39,42.9,4.9,113.38,,,,,,,,,,
2016,Miami Dolphins,10,6,0,0.625,363,380,-17,16,5324,913,5.8,23,8,278,316,477,3500,27,15,6.9,167,406,1824,14,4.5,90,125,21,30.7,11.1,-48.39,,,,,,,,,,
2016,Buffalo Bills,7,9,0,0.438,399,378,21,16,5666,1012,5.6,12,5,328,286,474,3036,17,7,5.8,155,492,2630,29,5.3,146,112,27,36.7,6.8,60.85,,,,,,,,,,
2016,New York Jets,5,11,0,0.313,275,409,-134,16,5268,1003,5.3,34,9,291,311,550,3466,16,25,5.9,166,418,1802,10,4.3,97,93,28,29.7,17.8,-79.69,,,,,,,,,,
2015,New England Patriots,12,4,0,0.75,465,315,150,16,5991,1050,5.7,14,7,348,404,629,4587,36,7,6.9,230,383,1404,14,3.7,87,96,31,43.2,5.7,138.04,,,,,,,,,,
2015,New York Jets,10,6,0,0.625,387,314,73,16,5925,1074,5.5,24,8,329,362,604,4057,33,16,6.5,210,448,1868,11,4.2,99,96,20,35.7,11.6,72.26,,,,,,,,,,
2015,Buffalo Bills,8,8,0,0.5,379,359,20,16,5775,1016,5.7,19,10,297,295,465,3343,23,9,6.6,155,509,2432,19,4.8,122,143,20,34.9,8.6,37.71,,,,,,,,,,
2015,Miami Dolphins,6,10,0,0.375,310,389,-79,16,5307,977,5.4,19,7,291,365,588,3811,24,12,6,194,344,1496,11,4.3,72,134,25,25.7,9.6,-4.88,,,,,,,,,,
2014,New England Patriots,12,4,0,0.75,468,313,155,16,5848,1073,5.5,13,4,361,392,609,4121,34,9,6.5,228,438,1727,13,3.9,96,120,37,45.3,7.2,181.12,,,,,,,,,,
2014,Buffalo Bills,9,7,0,0.563,343,289,54,16,5096,1020,5,23,10,273,363,579,3614,23,13,5.8,186,402,1482,7,3.7,65,124,22,32.5,11.2,-43.33,,,,,,,,,,
